County,Candidate,Party,Share,Votes
McKEAN,"LANE, TIMIKA",DEM,24.31%,"1,839"
McKEAN,"SULLIVAN , MEGAN",REP,75.69%,"5,725"
MERCER,"LANE, TIMIKA",DEM,25.16%,"4,670"
MERCER,"SULLIVAN , MEGAN",REP,74.84%,"13,890"
MIFFLIN,"LANE, TIMIKA",DEM,19.51%,"1,683"
MIFFLIN,"SULLIVAN , MEGAN",REP,80.49%,"6,944"
MONROE,"LANE, TIMIKA",DEM,35.50%,"6,586"
MONROE,"SULLIVAN , MEGAN",REP,64.50%,"11,964"
MONTGOMERY,"LANE, TIMIKA",DEM,55.68%,"109,922"
MONTGOMERY,"SULLIVAN , MEGAN",REP,44.32%,"87,508"
MONTOUR,"LANE, TIMIKA",DEM,26.84%,786
MONTOUR,"SULLIVAN , MEGAN",REP,73.16%,"2,143"
NORTHAMPTON,"LANE, TIMIKA",DEM,48.45%,"32,073"
NORTHAMPTON,"SULLIVAN , MEGAN",REP,51.55%,"34,127"
NORTHUMBERLAND,"LANE, TIMIKA",DEM,29.36%,"4,594"
NORTHUMBERLAND,"SULLIVAN , MEGAN",REP,70.64%,"11,053"
PERRY,"LANE, TIMIKA",DEM,20.33%,"1,986"
PERRY,"SULLIVAN , MEGAN",REP,79.67%,"7,784"
PHILADELPHIA,"LANE, TIMIKA",DEM,77.64%,"134,826"
PHILADELPHIA,"SULLIVAN , MEGAN",REP,22.36%,"38,824"
PIKE,"LANE, TIMIKA",DEM,37.44%,"4,686"
PIKE,"SULLIVAN , MEGAN",REP,62.56%,"7,830"
POTTER,"LANE, TIMIKA",DEM,20.14%,836
POTTER,"SULLIVAN , MEGAN",REP,79.86%,"3,314"
SCHUYLKILL,"LANE, TIMIKA",DEM,28.28%,"8,642"
SCHUYLKILL,"SULLIVAN , MEGAN",REP,71.72%,"21,915"
SNYDER,"LANE, TIMIKA",DEM,22.68%,"1,824"
SNYDER,"SULLIVAN , MEGAN",REP,77.32%,"6,218"
SOMERSET,"LANE, TIMIKA",DEM,20.64%,"3,858"
SOMERSET,"SULLIVAN , MEGAN",REP,79.36%,"14,836"
SULLIVAN,"LANE, TIMIKA",DEM,25.34%,464
SULLIVAN,"SULLIVAN , MEGAN",REP,74.66%,"1,367"
SUSQUEHANNA,"LANE, TIMIKA",DEM,27.33%,"2,254"
SUSQUEHANNA,"SULLIVAN , MEGAN",REP,72.67%,"5,994"
TIOGA,"LANE, TIMIKA",DEM,15.24%,"1,156"
TIOGA,"SULLIVAN , MEGAN",REP,84.76%,"6,429"
UNION,"LANE, TIMIKA",DEM,34.16%,"3,012"
UNION,"SULLIVAN , MEGAN",REP,65.84%,"5,805"
VENANGO,"LANE, TIMIKA",DEM,27.98%,"2,724"
VENANGO,"SULLIVAN , MEGAN",REP,72.02%,"7,013"
WARREN,"LANE, TIMIKA",DEM,27.83%,"2,229"
WARREN,"SULLIVAN , MEGAN",REP,72.17%,"5,779"
WASHINGTON,"LANE, TIMIKA",DEM,37.79%,"18,563"
WASHINGTON,"SULLIVAN , MEGAN",REP,62.21%,"30,558"
WAYNE,"LANE, TIMIKA",DEM,29.46%,"3,419"
WAYNE,"SULLIVAN , MEGAN",REP,70.54%,"8,185"
WESTMORELAND,"LANE, TIMIKA",DEM,34.95%,"29,648"
WESTMORELAND,"SULLIVAN , MEGAN",REP,65.05%,"55,173"
WYOMING,"LANE, TIMIKA",DEM,26.95%,"1,808"
WYOMING,"SULLIVAN , MEGAN",REP,73.05%,"4,900"
YORK,"LANE, TIMIKA",DEM,33.68%,"28,068"
YORK,"SULLIVAN , MEGAN",REP,66.32%,"55,263"
