County,Candidate,Yes Share,No Share,Yes Votes,No Votes
ADAMS,"COVEY, ANNE",66.80%,33.20%,"11,828","5,878"
ADAMS,"JUBELIRER, RENEE COHN",66.50%,33.50%,"11,738","5,914"
ALLEGHENY,"COVEY, ANNE",59.94%,40.06%,"143,439","95,876"
ALLEGHENY,"JUBELIRER, RENEE COHN",61.86%,38.14%,"148,184","91,346"
ARMSTRONG,"COVEY, ANNE",59.72%,40.28%,"6,745","4,549"
ARMSTRONG,"JUBELIRER, RENEE COHN",59.07%,40.93%,"6,685","4,632"
BEAVER,"COVEY, ANNE",58.41%,41.59%,"18,721","13,332"
BEAVER,"JUBELIRER, RENEE COHN",58.11%,41.89%,"18,592","13,403"
BEDFORD,"COVEY, ANNE",63.70%,36.30%,"4,839","2,757"
BEDFORD,"JUBELIRER, RENEE COHN",64.78%,35.22%,"5,072","2,757"
BERKS,"COVEY, ANNE",63.54%,36.46%,"35,177","20,186"
BERKS,"JUBELIRER, RENEE COHN",63.88%,36.12%,"35,218","19,911"
BLAIR,"COVEY, ANNE",70.28%,29.72%,"15,358","6,494"
BLAIR,"JUBELIRER, RENEE COHN",70.37%,29.63%,"15,676","6,600"
BRADFORD,"COVEY, ANNE",69.76%,30.24%,"6,980","3,026"
BRADFORD,"JUBELIRER, RENEE COHN",68.62%,31.38%,"6,828","3,123"
BUCKS,"COVEY, ANNE",60.63%,39.37%,"97,368","63,222"
BUCKS,"JUBELIRER, RENEE COHN",61.64%,38.36%,"98,730","61,440"
BUTLER,"COVEY, ANNE",60.64%,39.36%,"22,042","14,305"
BUTLER,"JUBELIRER, RENEE COHN",60.88%,39.12%,"22,088","14,191"
CAMBRIA,"COVEY, ANNE",62.17%,37.83%,"16,379","9,965"
CAMBRIA,"JUBELIRER, RENEE COHN",61.88%,38.12%,"16,343","10,068"
CAMERON,"COVEY, ANNE",60.90%,39.10%,634,407
CAMERON,"JUBELIRER, RENEE COHN",59.65%,40.35%,618,418
CARBON,"COVEY, ANNE",67.09%,32.91%,"7,511","3,685"
CARBON,"JUBELIRER, RENEE COHN",65.92%,34.08%,"7,303","3,776"
CENTRE,"COVEY, ANNE",59.06%,40.94%,"16,867","11,690"
CENTRE,"JUBELIRER, RENEE COHN",60.32%,39.68%,"17,207","11,320"
CHESTER,"COVEY, ANNE",55.96%,44.04%,"70,370","55,379"
CHESTER,"JUBELIRER, RENEE COHN",56.86%,43.14%,"71,353","54,128"
CLARION,"COVEY, ANNE",62.49%,37.51%,"4,743","2,847"
CLARION,"JUBELIRER, RENEE COHN",61.58%,38.42%,"4,651","2,902"
CLEARFIELD,"COVEY, ANNE",59.97%,40.03%,"9,051","6,041"
CLEARFIELD,"JUBELIRER, RENEE COHN",59.69%,40.31%,"9,024","6,095"
CLINTON,"COVEY, ANNE",61.45%,38.55%,"3,707","2,326"
CLINTON,"JUBELIRER, RENEE COHN",60.82%,39.18%,"3,663","2,360"
COLUMBIA,"COVEY, ANNE",64.32%,35.68%,"6,592","3,656"
COLUMBIA,"JUBELIRER, RENEE COHN",63.29%,36.71%,"6,418","3,722"
CRAWFORD,"COVEY, ANNE",71.15%,28.85%,"10,167","4,123"
CRAWFORD,"JUBELIRER, RENEE COHN",70.93%,29.07%,"10,013","4,103"
CUMBERLAND,"COVEY, ANNE",65.33%,34.67%,"33,008","17,519"
CUMBERLAND,"JUBELIRER, RENEE COHN",65.70%,34.30%,"33,033","17,242"
DAUPHIN,"COVEY, ANNE",59.80%,40.20%,"30,401","20,439"
DAUPHIN,"JUBELIRER, RENEE COHN",60.14%,39.86%,"30,529","20,233"
DELAWARE,"COVEY, ANNE",53.53%,46.47%,"63,630","55,239"
DELAWARE,"JUBELIRER, RENEE COHN",54.05%,45.95%,"63,801","54,239"
ELK,"COVEY, ANNE",55.13%,44.87%,"3,710","3,019"
ELK,"JUBELIRER, RENEE COHN",54.60%,45.40%,"3,673","3,054"
ERIE,"COVEY, ANNE",65.73%,34.27%,"36,062","18,806"
ERIE,"JUBELIRER, RENEE COHN",65.71%,34.29%,"35,856","18,709"
FAYETTE,"COVEY, ANNE",61.64%,38.36%,"9,730","6,055"
FAYETTE,"JUBELIRER, RENEE COHN",61.26%,38.74%,"9,676","6,118"
FOREST,"COVEY, ANNE",65.24%,34.76%,869,463
FOREST,"JUBELIRER, RENEE COHN",64.46%,35.54%,849,468
FRANKLIN,"COVEY, ANNE",71.11%,28.89%,"18,537","7,530"
FRANKLIN,"JUBELIRER, RENEE COHN",71.41%,28.59%,"18,610","7,452"
FULTON,"COVEY, ANNE",69.86%,30.14%,"1,720",742
FULTON,"JUBELIRER, RENEE COHN",70.00%,30.00%,"1,738",745
GREENE,"COVEY, ANNE",58.71%,41.29%,"3,224","2,267"
GREENE,"JUBELIRER, RENEE COHN",57.47%,42.53%,"3,129","2,316"
HUNTINGDON,"COVEY, ANNE",61.05%,38.95%,"4,659","2,972"
HUNTINGDON,"JUBELIRER, RENEE COHN",61.22%,38.78%,"4,732","2,997"
INDIANA,"COVEY, ANNE",66.43%,33.57%,"12,214","6,171"
INDIANA,"JUBELIRER, RENEE COHN",65.52%,34.48%,"12,030","6,330"
JEFFERSON,"COVEY, ANNE",63.05%,36.95%,"5,381","3,153"
JEFFERSON,"JUBELIRER, RENEE COHN",62.75%,37.25%,"5,371","3,188"
JUNIATA,"COVEY, ANNE",67.20%,32.80%,"2,798","1,366"
JUNIATA,"JUBELIRER, RENEE COHN",66.32%,33.68%,"2,708","1,375"
LACKAWANNA,"COVEY, ANNE",65.13%,34.87%,"25,560","13,682"
LACKAWANNA,"JUBELIRER, RENEE COHN",65.23%,34.77%,"25,467","13,572"
LANCASTER,"COVEY, ANNE",72.14%,27.86%,"68,696","26,529"
LANCASTER,"JUBELIRER, RENEE COHN",72.39%,27.61%,"68,760","26,226"
LAWRENCE,"COVEY, ANNE",68.04%,31.96%,"9,846","4,624"
LAWRENCE,"JUBELIRER, RENEE COHN",67.57%,32.43%,"9,761","4,684"
LEBANON,"COVEY, ANNE",69.32%,30.68%,"15,559","6,885"
LEBANON,"JUBELIRER, RENEE COHN",68.38%,31.62%,"15,352","7,100"
LEHIGH,"COVEY, ANNE",58.24%,41.76%,"33,390","23,942"
LEHIGH,"JUBELIRER, RENEE COHN",58.90%,41.10%,"33,593","23,444"
LUZERNE,"COVEY, ANNE",64.87%,35.13%,"30,401","16,461"
LUZERNE,"JUBELIRER, RENEE COHN",63.86%,36.14%,"29,518","16,704"
LYCOMING,"COVEY, ANNE",64.40%,35.60%,"12,165","6,725"
LYCOMING,"JUBELIRER, RENEE COHN",64.29%,35.71%,"12,070","6,704"
McKEAN,"COVEY, ANNE",69.21%,30.79%,"4,316","1,920"
McKEAN,"JUBELIRER, RENEE COHN",67.97%,32.03%,"4,194","1,976"
MERCER,"COVEY, ANNE",67.78%,32.22%,"13,666","6,496"
MERCER,"JUBELIRER, RENEE COHN",67.36%,32.64%,"13,586","6,582"
MIFFLIN,"COVEY, ANNE",57.07%,42.93%,"4,014","3,019"
MIFFLIN,"JUBELIRER, RENEE COHN",57.31%,42.69%,"4,029","3,001"
MONROE,"COVEY, ANNE",57.82%,42.18%,"13,227","9,651"
MONROE,"JUBELIRER, RENEE COHN",57.81%,42.19%,"13,144","9,591"
MONTGOMERY,"COVEY, ANNE",61.09%,38.91%,"100,966","64,319"
MONTGOMERY,"JUBELIRER, RENEE COHN",63.50%,36.50%,"104,693","60,174"
MONTOUR,"COVEY, ANNE",68.31%,31.69%,"2,274","1,055"
MONTOUR,"JUBELIRER, RENEE COHN",68.14%,31.86%,"2,254","1,054"
NORTHAMPTON,"COVEY, ANNE",57.96%,42.04%,"30,917","22,423"
NORTHAMPTON,"JUBELIRER, RENEE COHN",59.05%,40.95%,"31,415","21,784"
NORTHUMBERLAND,"COVEY, ANNE",67.18%,32.82%,"9,486","4,635"
NORTHUMBERLAND,"JUBELIRER, RENEE COHN",65.75%,34.25%,"9,198","4,791"
PERRY,"COVEY, ANNE",69.26%,30.74%,"5,621","2,495"
PERRY,"JUBELIRER, RENEE COHN",68.74%,31.26%,"5,573","2,534"
PHILADELPHIA,"COVEY, ANNE",58.12%,41.88%,"81,999","59,086"
PHILADELPHIA,"JUBELIRER, RENEE COHN",64.54%,35.46%,"89,032","48,912"
PIKE,"COVEY, ANNE",65.78%,34.22%,"7,113","3,701"
PIKE,"JUBELIRER, RENEE COHN",65.64%,34.36%,"7,066","3,698"
