County,Candidate,Party,Share,Votes
McKEAN,"SULLIVAN , MEGAN",REP,75.69%,"5,725"
MERCER,"LANE, TIMIKA",DEM,25.16%,"4,670"
MERCER,"SULLIVAN , MEGAN",REP,74.84%,"13,890"
MIFFLIN,"LANE, TIMIKA",DEM,19.51%,"1,683"
MIFFLIN,"SULLIVAN , MEGAN",REP,80.49%,"6,944"
MONROE,"LANE, TIMIKA",DEM,35.52%,"6,428"
MONROE,"SULLIVAN , MEGAN",REP,64.48%,"11,671"
MONTGOMERY,"LANE, TIMIKA",DEM,78.61%,"28,851"
MONTGOMERY,"SULLIVAN , MEGAN",REP,21.39%,"7,849"
MONTOUR,"LANE, TIMIKA",DEM,26.84%,786
MONTOUR,"SULLIVAN , MEGAN",REP,73.16%,"2,143"
NORTHAMPTON,"LANE, TIMIKA",DEM,48.45%,"32,073"
NORTHAMPTON,"SULLIVAN , MEGAN",REP,51.55%,"34,127"
NORTHUMBERLAND,"LANE, TIMIKA",DEM,29.36%,"4,594"
NORTHUMBERLAND,"SULLIVAN , MEGAN",REP,70.64%,"11,053"
PERRY,"LANE, TIMIKA",DEM,21.09%,"1,875"
PERRY,"SULLIVAN , MEGAN",REP,78.91%,"7,014"
PHILADELPHIA,"LANE, TIMIKA",DEM,77.29%,"115,138"
PHILADELPHIA,"SULLIVAN , MEGAN",REP,22.71%,"33,837"
PIKE,"LANE, TIMIKA",DEM,37.44%,"4,686"
PIKE,"SULLIVAN , MEGAN",REP,62.56%,"7,830"
POTTER,"LANE, TIMIKA",DEM,20.27%,831
POTTER,"SULLIVAN , MEGAN",REP,79.73%,"3,269"
SCHUYLKILL,"LANE, TIMIKA",DEM,28.28%,"8,642"
SCHUYLKILL,"SULLIVAN , MEGAN",REP,71.72%,"21,915"
SNYDER,"LANE, TIMIKA",DEM,22.68%,"1,824"
SNYDER,"SULLIVAN , MEGAN",REP,77.32%,"6,218"
SOMERSET,"LANE, TIMIKA",DEM,20.64%,"3,858"
SOMERSET,"SULLIVAN , MEGAN",REP,79.36%,"14,836"
SULLIVAN,"LANE, TIMIKA",DEM,25.34%,464
SULLIVAN,"SULLIVAN , MEGAN",REP,74.66%,"1,367"
SUSQUEHANNA,"LANE, TIMIKA",DEM,27.33%,"2,254"
SUSQUEHANNA,"SULLIVAN , MEGAN",REP,72.67%,"5,994"
TIOGA,"LANE, TIMIKA",DEM,15.24%,"1,156"
TIOGA,"SULLIVAN , MEGAN",REP,84.76%,"6,429"
UNION,"LANE, TIMIKA",DEM,34.16%,"3,012"
UNION,"SULLIVAN , MEGAN",REP,65.84%,"5,805"
VENANGO,"LANE, TIMIKA",DEM,27.98%,"2,724"
VENANGO,"SULLIVAN , MEGAN",REP,72.02%,"7,013"
WARREN,"LANE, TIMIKA",DEM,27.83%,"2,229"
WARREN,"SULLIVAN , MEGAN",REP,72.17%,"5,779"
WASHINGTON,"LANE, TIMIKA",DEM,37.79%,"18,563"
WASHINGTON,"SULLIVAN , MEGAN",REP,62.21%,"30,558"
WAYNE,"LANE, TIMIKA",DEM,29.46%,"3,419"
WAYNE,"SULLIVAN , MEGAN",REP,70.54%,"8,185"
WESTMORELAND,"LANE, TIMIKA",DEM,38.61%,"16,243"
WESTMORELAND,"SULLIVAN , MEGAN",REP,61.39%,"25,827"
WYOMING,"LANE, TIMIKA",DEM,26.95%,"1,808"
WYOMING,"SULLIVAN , MEGAN",REP,73.05%,"4,900"
YORK,"LANE, TIMIKA",DEM,68.08%,"14,327"
YORK,"SULLIVAN , MEGAN",REP,31.92%,"6,718"
