County,Candidate,Yes Share,No Share,Yes Votes,No Votes
ADAMS,"COVEY, ANNE",66.80%,33.20%,"11,833","5,880"
ADAMS,"JUBELIRER, RENEE COHN",66.50%,33.50%,"11,744","5,915"
ALLEGHENY,"COVEY, ANNE",59.96%,40.04%,"146,163","97,602"
ALLEGHENY,"JUBELIRER, RENEE COHN",61.89%,38.11%,"150,982","92,989"
ARMSTRONG,"COVEY, ANNE",59.72%,40.28%,"6,767","4,564"
ARMSTRONG,"JUBELIRER, RENEE COHN",59.09%,40.91%,"6,710","4,645"
BEAVER,"COVEY, ANNE",58.40%,41.60%,"18,762","13,364"
BEAVER,"JUBELIRER, RENEE COHN",58.11%,41.89%,"18,634","13,433"
BEDFORD,"COVEY, ANNE",63.75%,36.25%,"5,015","2,852"
BEDFORD,"JUBELIRER, RENEE COHN",64.95%,35.05%,"5,264","2,841"
BERKS,"COVEY, ANNE",63.25%,36.75%,"35,946","20,885"
BERKS,"JUBELIRER, RENEE COHN",63.70%,36.30%,"36,054","20,547"
BLAIR,"COVEY, ANNE",70.26%,29.74%,"15,431","6,532"
BLAIR,"JUBELIRER, RENEE COHN",70.37%,29.63%,"15,756","6,633"
BRADFORD,"COVEY, ANNE",69.76%,30.24%,"6,980","3,026"
BRADFORD,"JUBELIRER, RENEE COHN",68.62%,31.38%,"6,828","3,123"
BUCKS,"COVEY, ANNE",60.45%,39.55%,"98,137","64,196"
BUCKS,"JUBELIRER, RENEE COHN",61.50%,38.50%,"99,574","62,337"
BUTLER,"COVEY, ANNE",60.58%,39.42%,"22,122","14,393"
BUTLER,"JUBELIRER, RENEE COHN",60.84%,39.16%,"22,174","14,272"
CAMBRIA,"COVEY, ANNE",62.18%,37.82%,"16,409","9,979"
CAMBRIA,"JUBELIRER, RENEE COHN",61.90%,38.10%,"16,376","10,081"
CAMERON,"COVEY, ANNE",60.94%,39.06%,635,407
CAMERON,"JUBELIRER, RENEE COHN",59.69%,40.31%,619,418
CARBON,"COVEY, ANNE",67.09%,32.91%,"7,511","3,685"
CARBON,"JUBELIRER, RENEE COHN",65.92%,34.08%,"7,303","3,776"
CENTRE,"COVEY, ANNE",59.02%,40.98%,"17,062","11,848"
CENTRE,"JUBELIRER, RENEE COHN",60.33%,39.67%,"17,423","11,458"
CHESTER,"COVEY, ANNE",55.73%,44.27%,"71,167","56,544"
CHESTER,"JUBELIRER, RENEE COHN",56.68%,43.32%,"72,229","55,213"
CLARION,"COVEY, ANNE",62.49%,37.51%,"4,743","2,847"
CLARION,"JUBELIRER, RENEE COHN",61.58%,38.42%,"4,651","2,902"
CLEARFIELD,"COVEY, ANNE",59.97%,40.03%,"9,051","6,041"
CLEARFIELD,"JUBELIRER, RENEE COHN",59.69%,40.31%,"9,024","6,095"
CLINTON,"COVEY, ANNE",61.49%,38.51%,"3,715","2,327"
CLINTON,"JUBELIRER, RENEE COHN",60.86%,39.14%,"3,671","2,361"
COLUMBIA,"COVEY, ANNE",64.32%,35.68%,"6,592","3,656"
COLUMBIA,"JUBELIRER, RENEE COHN",63.29%,36.71%,"6,418","3,722"
CRAWFORD,"COVEY, ANNE",71.15%,28.85%,"10,167","4,123"
CRAWFORD,"JUBELIRER, RENEE COHN",70.93%,29.07%,"10,013","4,103"
CUMBERLAND,"COVEY, ANNE",65.34%,34.66%,"33,062","17,540"
CUMBERLAND,"JUBELIRER, RENEE COHN",65.71%,34.29%,"33,083","17,267"
DAUPHIN,"COVEY, ANNE",59.80%,40.20%,"30,401","20,438"
DAUPHIN,"JUBELIRER, RENEE COHN",60.16%,39.84%,"30,546","20,232"
DELAWARE,"COVEY, ANNE",53.22%,46.78%,"64,522","56,714"
DELAWARE,"JUBELIRER, RENEE COHN",53.83%,46.17%,"64,808","55,585"
ELK,"COVEY, ANNE",55.13%,44.87%,"3,710","3,019"
ELK,"JUBELIRER, RENEE COHN",54.60%,45.40%,"3,673","3,054"
ERIE,"COVEY, ANNE",65.71%,34.29%,"36,226","18,901"
ERIE,"JUBELIRER, RENEE COHN",65.71%,34.29%,"36,025","18,799"
FAYETTE,"COVEY, ANNE",61.71%,38.29%,"10,446","6,481"
FAYETTE,"JUBELIRER, RENEE COHN",61.52%,38.48%,"10,419","6,517"
FOREST,"COVEY, ANNE",65.12%,34.88%,872,467
FOREST,"JUBELIRER, RENEE COHN",64.43%,35.57%,853,471
FRANKLIN,"COVEY, ANNE",71.12%,28.88%,"18,559","7,538"
FRANKLIN,"JUBELIRER, RENEE COHN",71.41%,28.59%,"18,631","7,461"
FULTON,"COVEY, ANNE",69.86%,30.14%,"1,720",742
FULTON,"JUBELIRER, RENEE COHN",70.00%,30.00%,"1,738",745
GREENE,"COVEY, ANNE",58.13%,41.87%,"4,030","2,903"
GREENE,"JUBELIRER, RENEE COHN",57.37%,42.63%,"3,951","2,936"
HUNTINGDON,"COVEY, ANNE",61.05%,38.95%,"4,659","2,972"
HUNTINGDON,"JUBELIRER, RENEE COHN",61.22%,38.78%,"4,732","2,997"
INDIANA,"COVEY, ANNE",66.44%,33.56%,"12,215","6,171"
INDIANA,"JUBELIRER, RENEE COHN",65.52%,34.48%,"12,031","6,330"
JEFFERSON,"COVEY, ANNE",63.05%,36.95%,"5,381","3,153"
JEFFERSON,"JUBELIRER, RENEE COHN",62.75%,37.25%,"5,371","3,188"
JUNIATA,"COVEY, ANNE",67.19%,32.81%,"2,799","1,367"
JUNIATA,"JUBELIRER, RENEE COHN",66.32%,33.68%,"2,709","1,376"
LACKAWANNA,"COVEY, ANNE",65.13%,34.87%,"25,626","13,722"
LACKAWANNA,"JUBELIRER, RENEE COHN",65.24%,34.76%,"25,536","13,605"
LANCASTER,"COVEY, ANNE",72.11%,27.89%,"68,945","26,670"
LANCASTER,"JUBELIRER, RENEE COHN",72.35%,27.65%,"69,004","26,366"
LAWRENCE,"COVEY, ANNE",68.05%,31.95%,"9,846","4,623"
LAWRENCE,"JUBELIRER, RENEE COHN",67.58%,32.42%,"9,761","4,683"
LEBANON,"COVEY, ANNE",69.32%,30.68%,"15,559","6,885"
LEBANON,"JUBELIRER, RENEE COHN",68.38%,31.62%,"15,352","7,100"
LEHIGH,"COVEY, ANNE",58.28%,41.72%,"33,948","24,305"
LEHIGH,"JUBELIRER, RENEE COHN",58.93%,41.07%,"34,155","23,804"
LUZERNE,"COVEY, ANNE",64.87%,35.13%,"30,401","16,461"
LUZERNE,"JUBELIRER, RENEE COHN",63.86%,36.14%,"29,518","16,704"
LYCOMING,"COVEY, ANNE",64.40%,35.60%,"12,165","6,725"
LYCOMING,"JUBELIRER, RENEE COHN",64.29%,35.71%,"12,070","6,704"
McKEAN,"COVEY, ANNE",69.21%,30.79%,"4,316","1,920"
McKEAN,"JUBELIRER, RENEE COHN",67.97%,32.03%,"4,194","1,976"
MERCER,"COVEY, ANNE",67.79%,32.21%,"13,706","6,512"
MERCER,"JUBELIRER, RENEE COHN",67.38%,32.62%,"13,628","6,598"
MIFFLIN,"COVEY, ANNE",57.12%,42.88%,"4,068","3,054"
MIFFLIN,"JUBELIRER, RENEE COHN",57.42%,42.58%,"4,088","3,031"
MONROE,"COVEY, ANNE",57.80%,42.20%,"13,333","9,733"
MONROE,"JUBELIRER, RENEE COHN",57.79%,42.21%,"13,247","9,676"
MONTGOMERY,"COVEY, ANNE",60.57%,39.43%,"103,891","67,637"
MONTGOMERY,"JUBELIRER, RENEE COHN",63.16%,36.84%,"108,040","63,018"
MONTOUR,"COVEY, ANNE",68.31%,31.69%,"2,274","1,055"
MONTOUR,"JUBELIRER, RENEE COHN",68.14%,31.86%,"2,254","1,054"
NORTHAMPTON,"COVEY, ANNE",57.98%,42.02%,"31,222","22,631"
NORTHAMPTON,"JUBELIRER, RENEE COHN",59.08%,40.92%,"31,735","21,978"
NORTHUMBERLAND,"COVEY, ANNE",67.18%,32.82%,"9,486","4,635"
NORTHUMBERLAND,"JUBELIRER, RENEE COHN",65.75%,34.25%,"9,198","4,791"
PERRY,"COVEY, ANNE",69.26%,30.74%,"5,621","2,495"
PERRY,"JUBELIRER, RENEE COHN",68.74%,31.26%,"5,573","2,534"
PHILADELPHIA,"COVEY, ANNE",58.16%,41.84%,"85,439","61,456"
PHILADELPHIA,"JUBELIRER, RENEE COHN",64.69%,35.31%,"92,913","50,725"
PIKE,"COVEY, ANNE",65.78%,34.22%,"7,130","3,709"
PIKE,"JUBELIRER, RENEE COHN",65.66%,34.34%,"7,084","3,705"
POTTER,"COVEY, ANNE",61.48%,38.52%,"2,262","1,417"
POTTER,"JUBELIRER, RENEE COHN",61.48%,38.52%,"2,233","1,399"
SCHUYLKILL,"COVEY, ANNE",67.35%,32.65%,"17,488","8,477"
SCHUYLKILL,"JUBELIRER, RENEE COHN",65.27%,34.73%,"16,834","8,957"
SNYDER,"COVEY, ANNE",65.48%,34.52%,"4,378","2,308"
SNYDER,"JUBELIRER, RENEE COHN",64.96%,35.04%,"4,350","2,346"
SOMERSET,"COVEY, ANNE",62.31%,37.69%,"10,117","6,119"
SOMERSET,"JUBELIRER, RENEE COHN",62.31%,37.69%,"10,122","6,123"
SULLIVAN,"COVEY, ANNE",61.56%,38.44%,884,552
SULLIVAN,"JUBELIRER, RENEE COHN",61.35%,38.65%,881,555
SUSQUEHANNA,"COVEY, ANNE",69.42%,30.58%,"5,087","2,241"
SUSQUEHANNA,"JUBELIRER, RENEE COHN",68.15%,31.85%,"4,966","2,321"
